Rank,ID,Title,Authors,Year,Venue,Track,Status,Primary Area,Keywords,Citations,BM25 Score,Combined Score,DOI,URL,PDF,Source,TLDR,Abstract
1,,Igniting Creative Writing in Small Language Models: LLM-as-a-Judge versus Multi-Agent Refined Rewards,Xiaolong Wei; Bo Lu; Xingyu Zhang; Zhejun Zhao; Dongdong Shen,2025,Proceedings of the 2025 Conference on Empirical Methods in Natural Language Processing,,,,,1,0.000,0.000,10.48550/arXiv.2508.21476,https://www.semanticscholar.org/paper/d8f8557e5fb3bb90acf576b36ac5165af0746c6c,,semantic_scholar,,"Large Language Models (LLMs) have demonstrated remarkable creative writing capabilities, yet their substantial computational demands hinder widespread use. Enhancing Small Language Models (SLMs) offers a promising alternative, but current methods like Supervised Fine-Tuning (SFT) struggle with novel"
2,,CodeUltraFeedback: An LLM-as-a-Judge Dataset for Aligning Large Language Models to Coding Preferences,M. Weyssow; Aton Kamanda; Xin Zhou; H. Sahraoui,2024,ACM Transactions on Software Engineering and Methodology,,,,,52,0.000,0.000,10.1145/3736407,https://www.semanticscholar.org/paper/d06e65f74715e071678bf8ccdcf9d52004a10280,,semantic_scholar,,"Evaluating the alignment of large language models (LLMs) with user-defined coding preferences is a challenging endeavor that requires a deep assessment of LLMs’ outputs. Existing methods and benchmarks rely primarily on automated metrics and static analysis tools, which often fail to capture the nua"
3,,One Token to Fool LLM-as-a-Judge,Yulai Zhao; Haolin Liu; Dian Yu; Sunyuan Kung; Meijia Chen,2025,arXiv.org,,,,,21,0.000,0.000,10.48550/arXiv.2507.08794,https://www.semanticscholar.org/paper/6478c185582f5e48c54677c683a9297ff2916118,,semantic_scholar,,"Large language models (LLMs) are increasingly trusted as automated judges, assisting evaluation and providing reward signals for training other models, particularly in reference-based settings like Reinforcement Learning with Verifiable Rewards (RLVR). However, we uncover a critical vulnerability ev"
4,,Instruction Tuned Large Language Models for Assisting Brain Surgery Through Procedural Alignment and Decision Support Using PPO Reinforcement Learning,G. R. Murthy; Dr. A. Jansi Rani; D. P. Kumar; Dr. K. Karunambiga; A. Jansi,2025,Journal of Neonatal Surgery,,,,,0,0.000,0.000,10.52783/jns.v14.2918,https://www.semanticscholar.org/paper/23d896f416f1c2f84936bef56a18dd80d56006d4,https://doi.org/10.52783/jns.v14.2918,semantic_scholar,,"The integration of large language models (LLMs) into clinical decision-making remains a critical challenge, especially in high-risk domains such as neurosurgery. This study presents a novel framework that leverages instruction-tuned LLMs optimized using Proximal Policy Optimization (PPO) reinforceme"
5,,MindChat-R0: A Large Language Model for Emotionally Supportive Dialogue through Reinforcement Learning,Dong She; Chenxu Zhang; Xianrong Yao; Yang Gao; Zhanping Jin,2025,Companion of the 2025 ACM International Joint Conference on Pervasive and Ubiquitous Computing,,,,,0,0.000,0.000,10.1145/3714394.3756244,https://www.semanticscholar.org/paper/cc7f63f319442d140c559d2d4276330bda1f1ea8,,semantic_scholar,,"Emotional Support Conversation (ESC) systems are critical for assisting individuals facing mental health challenges. In this work, we present a reinforcement learning framework to improve ESC systems through structured emotional reasoning. We first collect and clean a dataset of 4,500 real-world sup"
6,,LAPP: Large Language Model Feedback for Preference-Driven Reinforcement Learning,Pingcheng Jian; Xiao Wei; Yanbaihui Liu; Samuel A. Moore; M. Zavlanos,2025,Trans. Mach. Learn. Res.,,,,,1,0.000,0.000,10.48550/arXiv.2504.15472,https://www.semanticscholar.org/paper/6aaf724155768b31cc29eeda2e16cc4098d05e89,,semantic_scholar,,"We introduce Large Language Model-Assisted Preference Prediction (LAPP), a novel framework for robot learning that enables efficient, customizable, and expressive behavior acquisition with minimum human effort. Unlike prior approaches that rely heavily on reward engineering, human demonstrations, mo"
7,,Agents of Diffusion: Enhancing Diffusion Language Models with Multi-Agent Reinforcement Learning for Structured Data Generation (Extended Version),Aja Khanal; Kaushik T. Ranade; Rishabh Agrawal; K. S. Basu; Apurva Narayan,2026,,,,,,0,0.000,0.000,,https://www.semanticscholar.org/paper/d6bdde81a923c255184f232c9d8d616c6ab6bc2d,,semantic_scholar,,"Generating high-quality structured data such as JSON records, remains a fundamental challenge for large language models (LLMs), particularly when semantic richness must coexist with strict schema adherence. While autoregressive LLMs offer strong structural consistency, they often struggle with seman"
8,,A Survey of Process Reward Models: From Outcome Signals to Process Supervisions for Large Language Models,Congmin Zheng; Jiachen Zhu; Zhuoying Ou; Yuxiang Chen; Kangning Zhang,2025,arXiv.org,,,,,1,0.000,0.000,10.48550/arXiv.2510.08049,https://www.semanticscholar.org/paper/b670078b724938874a233687b5c53848df527a60,,semantic_scholar,,"Although Large Language Models (LLMs) exhibit advanced reasoning ability, conventional alignment remains largely dominated by outcome reward models (ORMs) that judge only final answers. Process Reward Models(PRMs) address this gap by evaluating and guiding reasoning at the step or trajectory level. "
9,,Any Large Language Model Can Be a Reliable Judge: Debiasing with a Reasoning-based Bias Detector,Haoyan Yang; Runxue Bao; Cao Xiao; Jun Ma; Parminder Bhatia,2025,arXiv.org,,,,,1,0.000,0.000,10.48550/arXiv.2505.17100,https://www.semanticscholar.org/paper/63dd639354d5a73e6d4005fed783dcd4ce8b916a,,semantic_scholar,,"LLM-as-a-Judge has emerged as a promising tool for automatically evaluating generated outputs, but its reliability is often undermined by potential biases in judgment. Existing efforts to mitigate these biases face key limitations: in-context learning-based methods fail to address rooted biases due "
10,,"SmallPlan: Leverage Small Language Models for Sequential Path Planning with Simulation-Powered, LLM-Guided Distillation",Quang P. M. Pham; Khoi T. N. Nguyen; Nhi H. Doan; Cuong A. Pham; Kentaro Inui,2025,arXiv.org,,,,,3,0.000,0.000,10.48550/arXiv.2505.00831,https://www.semanticscholar.org/paper/cfc47e50d2100075749b26e4a5ca71d4cbf91827,,semantic_scholar,,
