Rank,ID,Title,Authors,Year,Venue,Track,Status,Primary Area,Keywords,Citations,BM25 Score,Combined Score,DOI,URL,PDF,Source,TLDR,Abstract
1,GBWkRRJrdu,Generative Bayesian Optimization: Generative Models as Acquisition Functions,,2026,ICLR 2026,main,Active,"probabilistic methods (Bayesian methods, variational inference, sampling, UQ, etc.)",Bayesian optimization; generative models; black-box optimization,0,1.000,0.000,,https://openreview.net/forum?id=GBWkRRJrdu,,offline_iclr,,"We present a general strategy for turning generative models into candidate solution samplers for batch Bayesian optimization (BO). The use of generative models for BO enables: large batch scaling as generative sampling, optimization of non-continuous design spaces, and high-dimensional and combinato"
2,L9U5MJJleF,Concept Bottleneck Generative Models,Aya Abdelsalam Ismail; Julius Adebayo; Hector Corrada Bravo; Stephen Ra; Kyunghyun Cho,2024,ICLR 2024,main,Poster,visualization or interpretation of learned representations,Interpretability;generative models,0,0.998,0.000,,https://iclr.cc/virtual/2024/poster/18870,https://openreview.net/pdf?id=L9U5MJJleF,offline_iclr,,"We introduce a generative model with an intrinsically interpretable layer---a concept bottleneck layer---that constrains the model to encode human-understandable concepts. The concept bottleneck layer partitions the generative model into three parts: the pre-concept bottleneck portion, the CB layer,"
3,Eg32tDGgF5,DO GENERATIVE MODELS LEARN RARE GENERATIVE FACTORS?,Fasih Haider; Edward Moroshko; Yuyang Xue; Sotirios A. Tsaftaris,2025,ICLR 2025,main,Withdraw,"unsupervised, self-supervised, semi-supervised, and supervised representation learning",Representation Learning,0,0.994,0.000,,https://openreview.net/forum?id=Eg32tDGgF5,,offline_iclr,,"Generative models are becoming a promising tool in AI alongside discriminative learning. Several models have been proposed to learn in an unsupervised fashion the corresponding generative factors, namely the latent variables critical for capturing the full spectrum of data variability. Diffusion Mod"
4,S1eFtj0cKQ,Generative Models from the perspective of Continual Learning,Timothée Lesort; Hugo Caselles-Dupré; Michael Garcia-Ortiz; Jean-François Goudou; David Filliat,2019,ICLR 2019,main,Reject,,Generative Models;Continual Learning,0,0.994,0.000,,https://openreview.net/forum?id=S1eFtj0cKQ,,offline_iclr,A comparative study of generative models on Continual Learning scenarios.,"Which generative model is the most suitable for Continual Learning? This paper aims at evaluating and comparing generative models on disjoint sequential image generation tasks. We investigate how several models learn and forget, considering various strategies: rehearsal, regularization, generative r"
5,WncnpvJk83,GMValuator: Similarity-based Data Valuation for Generative Models,Jiaxi Yang; Wenlong Deng; Benlin Liu; Yangsibo Huang; James Zou,2025,ICLR 2025,main,Poster,interpretability and explainable AI,Generative Model;Data Valuation,0,0.985,0.000,,https://iclr.cc/virtual/2025/poster/29345,https://openreview.net/pdf?id=WncnpvJk83,offline_iclr,,"Data valuation plays a crucial role in machine learning. Existing data valuation methods, mainly focused on discriminative models, overlook generative models that have gained attention recently. In generative models, data valuation measures the impact of training data on generated datasets. Very few"
6,06193,Multiscale Generative Models: Improving Performance of a Generative Model Using Feedback from Other Dependent Generative Models,Changyu Chen; Avinandan Bose; Shih-Fen Cheng; Arunesh Sinha,2022,AAAI 2022,main,Technical,Machine Learning I,,0,0.985,0.000,,https://aaai.org/papers/06193-multiscale-generative-models-improving-performance-of-a-generative-model-using-feedback-from-other-dependent-generative-models/,https://cdn.aaai.org/ojs/20568/20568-13-24581-1-2-20220628.pdf,offline_aaai,,"Realistic fine-grained multi-agent simulation of real-world complex systems is crucial for many downstream tasks such as reinforcement learning. Recent work has used generative models (GANs in particular) for providing high-fidelity simulation of real-world systems. However, such generative models a"
7,rJlJF1SYPB,Universality Theorems for Generative Models,Valentin Khrulkov; Ivan Oseledets,2020,ICLR 2020,main,Withdraw,,generative models;theory;universality;manifolds;differential geometry,0,0.981,0.000,,https://openreview.net/forum?id=rJlJF1SYPB,,offline_iclr,We shot that a wide class of manifolds can be generated by ReLU and sigmoid networks with arbitrary precision.,"Despite the fact that generative models are extremely successful in practice, the theory underlying this phenomenon is only starting to catch up with practice. In this work we address the question of the universality of generative models: is it true that neural networks can approximate any data mani"
8,Bgcp4BniE-U,Generated Distributions Are All You Need for Membership Inference Attacks Against Generative Models,Minxing Zhang; Ning Yu; Rui Wen; Michael Backes; Yang Zhang,2023,ICLR 2023,main,Withdraw,,generative models;diffusion models;membership inference,0,0.981,0.000,,https://openreview.net/forum?id=Bgcp4BniE-U,,offline_iclr,Our work proposes a generalized membership inference against various generative models.,"Generative models have shown their promising performance on various real-world tasks, which, at the same time, introduce the threat of leaking private information of their training data. Several membership inference attacks against generative models have been proposed in recent years and exhibit the"
9,Gsbnnc--bnw,Generative Visual Prompt: Unifying Distributional Control of Pre-Trained Generative Models,Chen Henry Wu; Saman Motamed; Shaunak Srivastava; Fernando De la Torre,2022,NIPS 2022,main,Accept,,generative models;energy-based models;normalizing flows;generative adversarial networks;diffusion models;amortized inference,0,0.981,0.000,,https://nips.cc/virtual/2022/poster/55093,https://openreview.net/pdf?id=Gsbnnc--bnw,offline_nips,"A unified framework for learning distributions of interest (e.g., guidance, de-biasing) in the latent space of pre-trained generative models, with fast, feed-forward sampling at inference.","Generative models (e.g., GANs, diffusion models) learn the underlying data distribution in an unsupervised manner. However, many applications of interest require sampling from a particular region of the output space or sampling evenly over a range of characteristics. For efficient sampling in these "
10,5621,Max-Margin Deep Generative Models,Chongxuan Li; Jun Zhu; Tianlin Shi; Bo Zhang,2015,NIPS 2015,main,Poster,,,0,0.979,0.000,,https://nips.cc/virtual/2015/poster/5621,https://papers.nips.cc/paper_files/paper/2015/file/9c3b1830513cc3b8fc4b76635d32e692-Paper.pdf,offline_nips,,"Deep generative models (DGMs) are effective on learning multilayered representations of complex data and performing inference of input data by exploring the generative ability. However, little work has been done on examining or empowering the discriminative ability of DGMs on making accurate predict"
