Rank,ID,Title,Authors,Year,Venue,Track,Status,Primary Area,Keywords,Citations,BM25 Score,Combined Score,DOI,URL,PDF,Source,TLDR,Abstract
1,Idygh9MX0N,Multi-Agent Causal Discovery Using Large Language Models,Hao Duong Le; Xin Xia; Chen Zhang,2025,ICLR 2025,main,Withdraw,causal reasoning,Causal Inference;Causal Discovery;Natural Language Process;Multi-agent,0,1.000,0.856,,https://openreview.net/forum?id=Idygh9MX0N,,offline_iclr,,"Large Language Models (LLMs) have demonstrated significant potential in causal discovery tasks by utilizing their vast expert knowledge from extensive text corpora. However, the multi-agent capabilities of LLMs in causal discovery remain underexplored. This paper introduces a general framework to in"
2,IwhvaDrL39,Research Town: Simulator of Research Community,Haofei Yu; Zirui Cheng; Zhaochen Hong; Kunlun Zhu; Jinwei Yao,2025,ICLR 2025,main,Reject,"applications to computer vision, audio, language, and other modalities",multi-agent simulation; automatic research; large language model,0,0.847,0.813,,https://openreview.net/forum?id=IwhvaDrL39,,offline_iclr,,"Large Language Models (LLMs) have demonstrated remarkable potential in scientific domains, yet a fundamental question remains unanswered: Can we simulate human research communities using LLMs? Addressing this question could deepen our understanding of the processes behind research idea generation an"
3,BsA2GNkJhz,CellAgent: LLM-Driven Multi-Agent Framework for Natural Language-Based Single-Cell Analysis,,2026,ICLR 2026,main,Active,"applications to physical sciences (physics, chemistry, biology, etc.)",Large Language Models;LLM Agent;Single-cell RNA sequencing;Spatial transcriptomics,0,0.812,0.789,,https://openreview.net/forum?id=BsA2GNkJhz,,offline_iclr,,"Single-cell RNA sequencing (scRNA-seq) and spatial transcriptomics (ST) data analysis are pivotal for advancing biological research, enabling precise characterization of cellular heterogeneity. However, existing analysis approaches require extensive manual programming and complex tool integration, p"
4,CZPOIZqWwd,ResearchTown: Simulator of Human Research Community,Haofei Yu; Zhaochen Hong; Zirui Cheng; Kunlun Zhu; Keyang Xuan,2025,ICML 2025,main,Poster,deep_learning->graph_neural_networks,Multi-agent; Graph Neural Network; Large Language Model; Automatic Research,0,0.773,0.775,,https://icml.cc/virtual/2025/poster/46055,https://openreview.net/pdf?id=CZPOIZqWwd,offline_icml,,"Large Language Models (LLMs) have demonstrated remarkable potential in scientific domains, yet a fundamental question remains unanswered: Can we simulate human research communities with LLMs? Addressing this question can deepen our understanding of the processes behind idea brainstorming and inspire"
5,aaa6f35611,Learning Keypoints for Multi-Agent Behavior Analysis using Self-Supervision,Daniel Khalil; Christina Liu; Pietro Perona; Jennifer Sun; Markus Marks,2025,WACV 2025,main,Poster,,,0,0.810,0.770,,https://openaccess.thecvf.com/content/WACV2025/html/Khalil_Learning_Keypoints_for_Multi-Agent_Behavior_Analysis_using_Self-Supervision_WACV_2025_paper.html,https://openaccess.thecvf.com/content/WACV2025/papers/Khalil_Learning_Keypoints_for_Multi-Agent_Behavior_Analysis_using_Self-Supervision_WACV_2025_paper.pdf,offline_wacv,,The study of social interactions and collective behaviors through multi-agent video analysis is crucial in biology. While self-supervised keypoint discovery has emerged as a promising solution to reduce the need for manual keypoint annotations existing methods often struggle with videos containing m
6,egTQgf89Lm,LLM-based Multi-Agent Blackboard System for Information Discovery in Data Science,,2026,ICLR 2026,main,Active,"other topics in machine learning (i.e., none of the above)",multi-agent;data science;data discovery;large language models,0,0.719,0.761,,https://openreview.net/forum?id=egTQgf89Lm,,offline_iclr,,"The rapid advancement of Large Language Models (LLMs) has opened new opportunities in data science, yet their practical deployment is often constrained by the challenge of discovering relevant data within large data lakes. Existing methods struggle with this: single-agent systems are quickly overwhe"
7,Is2oXblRtP,PiFlow: Principle-aware Scientific Discovery with Multi-Agent Collaboration,,2026,ICLR 2026,main,Active,"applications to physical sciences (physics, chemistry, biology, etc.)",multi-agent systems;automated scientific discovery;large language models,0,0.717,0.761,,https://openreview.net/forum?id=Is2oXblRtP,,offline_iclr,,"Large Language Model (LLM)-based multi-agent systems (MAS) demonstrate remarkable potential for scientific discovery. Existing approaches, however, often automate scientific discovery using predefined workflows that lack rationality constraints. 
This often leads to aimless hypothesizing and a failu"
8,3lFAyPa9Fe,CausalSteward: An Agentic Divide-Conquer-Combine Copilot for Causal Discovery,,2026,ICLR 2026,main,Active,causal reasoning,causalsteward;causality;copilot;human-in-the-loop;interactive;causal discovery,0,0.745,0.757,,https://openreview.net/forum?id=3lFAyPa9Fe,,offline_iclr,,"Learning causal models from high-dimensional data is a significant challenge, particularly in real-world settings where violations of core assumptions lead to causal identifiability issues. Although massive amounts of prior knowledge are available, and contain valuable causal information, effectivel"
9,24xsYuKKnt,PaTSy-Neural-EM: Geometry-Aware Truth Discovery for Real-Time Multi-Agent Perception,Shiva Koreddi; Sravani Sowrupilli,2026,ICLR 2026,main,Withdraw,"unsupervised, self-supervised, semi-supervised, and supervised representation learning",Multi-agent Perception;Truth discovery;Sensor Fusion;Expectation-maximization(EM);V2X;OPV2V;Confusion matrices;Neural reliability head;Scene geometry features;Trust-region optimization,0,0.765,0.757,,https://openreview.net/forum?id=24xsYuKKnt,,offline_iclr,,"We revisit truth discovery (TD) for multi-agent perception and present PaTSy-
Neural-EM, a geometry-aware EM framework that learns state-conditioned reliability
while preserving the interpretability of Dawid–Skene (DS) confusion
matrices. In dynamic V2X scenes, reliability varies with range, inciden"
10,VSIjdKPGp8,R3DM: Enabling Role Discovery and Diversity Through Dynamics Models in Multi-agent Reinforcement Learning,Harsh Goel; Mohammad Omama; Behdad Chalaki; Vaishnav Tadiparthi; Ehsan Moradi Pari,2025,ICML 2025,main,Poster,reinforcement_learning->multiagent,Multi-agent Reinforcement Learning,0,0.801,0.750,,https://icml.cc/virtual/2025/poster/45066,https://openreview.net/pdf?id=VSIjdKPGp8,offline_icml,,"Multi-agent reinforcement learning (MARL) has achieved significant progress in large-scale traffic control, autonomous vehicles, and robotics. Drawing inspiration from biological systems where roles naturally emerge to enable coordination, role-based MARL methods have been proposed to enhance cooper"
