Rank,ID,Title,Authors,Year,Venue,Track,Status,Primary Area,Keywords,Citations,BM25 Score,Combined Score,DOI,URL,PDF,Source,TLDR,Abstract
1,,WorldSimBench: Towards Video Generation Models as World Simulators,Yiran Qin; Zhelun Shi; Jiwen Yu; Xijun Wang; Enshen Zhou,2024,arXiv.org,,,,,779,0.000,0.394,10.48550/arXiv.2410.18072,https://www.semanticscholar.org/paper/bc2ddba47a9d6b378abd8a8584849f3e4c410f24,,semantic_scholar,,"Recent advancements in predictive models have demonstrated exceptional capabilities in predicting the future state of objects and scenes. However, the lack of categorization based on inherent characteristics continues to hinder the progress of predictive model development. Additionally, existing ben"
2,,Spanish Pre-trained BERT Model and Evaluation Data,J. Cañete; Gabriel Chaperon; Rodrigo Fuentes; Jou-Hui Ho; Hojin Kang,2023,arXiv.org,,,,,739,0.000,0.375,10.48550/arXiv.2308.02976,https://www.semanticscholar.org/paper/79926aa63d4daee6af06a8e9a7c2480b31cb7ed9,https://arxiv.org/pdf/2308.02976,semantic_scholar,,"The Spanish language is one of the top 5 spoken languages in the world. Nevertheless, finding resources to train or evaluate Spanish language models is not an easy task. In this paper we help bridge this gap by presenting a BERT-based language model pre-trained exclusively on Spanish data. As a seco"
3,,SWE-bench: Can Language Models Resolve Real-World GitHub Issues?,Carlos E. Jimenez; John Yang; Alexander Wettig; Shunyu Yao; Kexin Pei,2023,International Conference on Learning Representations,,,,,1247,0.000,0.360,10.48550/arXiv.2310.06770,https://www.semanticscholar.org/paper/94a5f96308729e31c1ffbc0f0618db87795092fe,https://arxiv.org/pdf/2310.06770,semantic_scholar,,"Language models have outpaced our ability to evaluate them effectively, but for their future development it is essential to study the frontier of their capabilities. We find real-world software engineering to be a rich, sustainable, and challenging testbed for evaluating the next generation of langu"
4,,MMMU-Pro: A More Robust Multi-discipline Multimodal Understanding Benchmark,Xiang Yue; Tianyu Zheng; Yuansheng Ni; Yubo Wang; Kai Zhang,2024,Annual Meeting of the Association for Computational Linguistics,,,,,239,0.000,0.283,10.48550/arXiv.2409.02813,https://www.semanticscholar.org/paper/881ebd6d94065e5157f2290009b147b87eaf4ec9,,semantic_scholar,,"This paper introduces MMMU-Pro, a robust version of the Massive Multi-discipline Multimodal Understanding and Reasoning (MMMU) benchmark. MMMU-Pro rigorously assesses multimodal models' true understanding and reasoning capabilities through a three-step process based on MMMU: (1) filtering out questi"
5,,LVLM-EHub: A Comprehensive Evaluation Benchmark for Large Vision-Language Models,Peng Xu; Wenqi Shao; Kaipeng Zhang; Peng Gao; Shuo Liu,2023,IEEE Transactions on Pattern Analysis and Machine Intelligence,,,,,227,0.000,0.274,10.1109/TPAMI.2024.3507000,https://www.semanticscholar.org/paper/a8d02ff6d075c3cc48f0b97801cc52765c8f9ac9,https://doi.org/10.1109/tpami.2024.3507000,semantic_scholar,,"Large Vision-Language Models (LVLMs) have recently played a dominant role in multimodal vision-language learning. Despite the great success, it lacks a holistic evaluation of their efficacy. This paper presents a comprehensive evaluation of publicly available large multimodal models by building an L"
6,,Driving Into the Future: Multiview Visual Forecasting and Planning with World Model for Autonomous Driving,Yu-Quan Wang; Jiawei He; Lue Fan; Hongxin Li; Yuntao Chen,2023,Computer Vision and Pattern Recognition,,,,,237,0.000,0.268,10.1109/CVPR52733.2024.01397,https://www.semanticscholar.org/paper/db2aae1bd6e71e7c23716d0eb50d12aa72a0f0f2,http://arxiv.org/pdf/2311.17918,semantic_scholar,,"In autonomous driving, predicting future events in advance and evaluating the foreseeable risks empowers autonomous vehicles to better plan their actions, enhancing safety and efficiency on the road. To this end, we propose Drive-Wm, the first driving world model compatible with existing end-to-end "
7,,CBLUE: A Chinese Biomedical Language Understanding Evaluation Benchmark,Ningyu Zhang; Zhen Bi; Xiaozhuan Liang; Lei Li; Xiang Chen,2021,Annual Meeting of the Association for Computational Linguistics,,,,,218,0.000,0.234,10.18653/v1/2022.acl-long.544,https://www.semanticscholar.org/paper/cb2a38002e2f346b084e7dd6c9fcf2bb45de5a9e,https://aclanthology.org/2022.acl-long.544.pdf,semantic_scholar,,"Artificial Intelligence (AI), along with the recent progress in biomedical language understanding, is gradually offering great promise for medical practice. With the development of biomedical language understanding benchmarks, AI applications are widely used in the medical field. However, most bench"
8,,Zhongjing: Enhancing the Chinese Medical Capabilities of Large Language Model through Expert Feedback and Real-world Multi-turn Dialogue,Songhua Yang; Hanjia Zhao; Senbin Zhu; Guangyu Zhou; Hongfei Xu,2023,AAAI Conference on Artificial Intelligence,,,,,193,0.000,0.229,10.48550/arXiv.2308.03549,https://www.semanticscholar.org/paper/a50d4fd8f584276c0fd8560255884edd57aa926e,https://arxiv.org/pdf/2308.03549,semantic_scholar,,"Recent advances in Large Language Models (LLMs) have achieved remarkable breakthroughs in understanding and responding to user intents. However, their performance lag behind general use cases in some expertise domains, such as Chinese medicine. Existing efforts to incorporate Chinese medicine into L"
9,,How Far is Video Generation from World Model: A Physical Law Perspective,Bingyi Kang; Yang Yue; Rui Lu; Zhijie Lin; Yang Zhao,2024,International Conference on Machine Learning,,,,,112,0.000,0.221,10.48550/arXiv.2411.02385,https://www.semanticscholar.org/paper/7a0f9a591fbb8b224e385351256b61c7a54be8f9,,semantic_scholar,,"OpenAI's Sora highlights the potential of video generation for developing world models that adhere to fundamental physical laws. However, the ability of video generation models to discover such laws purely from visual data without human priors can be questioned. A world model learning the true law s"
10,,OpenXAI: Towards a Transparent Evaluation of Model Explanations,Chirag Agarwal; Eshika Saxena; Satyapriya Krishna; Martin Pawelczyk; Nari Johnson,2022,,,,,,168,0.000,0.199,,https://www.semanticscholar.org/paper/868e35374cb9c0fc6e4cfb17f96835aefcf520cc,,semantic_scholar,,"While several types of post hoc explanation methods have been proposed in recent literature, there is very little work on systematically benchmarking these methods. Here, we introduce OpenXAI, a comprehensive and extensible open-source framework for evaluating and benchmarking post hoc explanation m"
