Rank,ID,Title,Authors,Year,Venue,Track,Status,Primary Area,Keywords,Citations,BM25 Score,Combined Score,DOI,URL,PDF,Source,TLDR,Abstract
1,,StyleMeUp: Towards Style-Agnostic Sketch-Based Image Retrieval,Aneeshan Sain; Ayan Kumar Bhunia; Yongxin Yang; Tao Xiang; Yi-Zhe Song,2021,CVPR 2021,main,Poster,,,0,35.939,0.000,,,https://openaccess.thecvf.com/content/CVPR2021/papers/Sain_StyleMeUp_Towards_Style-Agnostic_Sketch-Based_Image_Retrieval_CVPR_2021_paper.pdf,offline_cvpr,,"Sketch-based image retrieval (SBIR) is a cross-modal matching problem which is typically solved by learning a joint embedding space where the semantic content shared between photo and sketch modalities are preserved. However, a fundamental challenge in SBIR has been largely ignored so far, that is, "
2,d0tlL0ZWlu,Exploiting Distribution Constraints for Scalable and Efficient Image Retrieval,Mohammad Omama; Po-han Li; Sandeep P. Chinchali,2025,ICLR 2025,main,Poster,"unsupervised, self-supervised, semi-supervised, and supervised representation learning",image retrieval;efficiency;foundation models,0,33.498,0.000,,https://iclr.cc/virtual/2025/poster/29018,https://openreview.net/pdf?id=d0tlL0ZWlu,offline_iclr,,"Image retrieval is crucial in robotics and computer vision, with downstream applications in robot place recognition and vision-based product recommendations. Modern retrieval systems face two key challenges: scalability and efficiency.
State-of-the-art image retrieval systems train specific neural n"
3,c1Vn1RpB64,Contradiction Retrieval Via Sparse-Aware Sentence Embedding,Haike Xu; Zongyu Lin; Kai-Wei Chang; Yizhou Sun; Piotr Indyk,2025,ICLR 2025,main,Reject,"unsupervised, self-supervised, semi-supervised, and supervised representation learning",contradiction retrieval;sentence embedding,0,32.770,0.000,,https://openreview.net/forum?id=c1Vn1RpB64,,offline_iclr,,"Contradiction retrieval refers to identifying and extracting documents that explicitly disagree with or refute the content of a query, which is important to many downstream applications like fact checking and data cleaning. To retrieve contradiction argument to the query from large document corpora,"
4,,CoSMo: Content-Style Modulation for Image Retrieval With Text Feedback,Seungmin Lee; Dongwan Kim; Bohyung Han,2021,CVPR 2021,main,Poster,,,0,32.685,0.000,,,https://openaccess.thecvf.com/content/CVPR2021/papers/Lee_CoSMo_Content-Style_Modulation_for_Image_Retrieval_With_Text_Feedback_CVPR_2021_paper.pdf,offline_cvpr,,"We tackle the task of image retrieval with text feedback, where a reference image and modifier text are combined to identify the desired target image. We focus on designing an image-text compositor, i.e., integrating multi-modal inputs to produce a representation similar to that of the target image."
5,4GD7a9Bo9A,Bias Learning: Quantifying and Mitigating Position Sensitivity in Text Embeddings,Samarth Goel; Reagan Lee; Kannan Ramchandran,2025,ICLR 2025,main,Reject,interpretability and explainable AI,Deep Learning or Neural Networks;Similarity and Distance Learning;(Application) Information Retrieval Regression;(Cognitive/Neuroscience) Language;(Other) Statistics,0,32.568,0.000,,https://openreview.net/forum?id=4GD7a9Bo9A,,offline_iclr,,"Embedding models are crucial for tasks in Information Retrieval (IR) and semantic similarity measurement, yet their handling of longer texts and associated positional biases remains underexplored. In this study, we investigate the impact of content position and input size on text embeddings. Our exp"
6,iZQW7eutCv,pEBR: A Probabilistic Approach to Embedding Based Retrieval,Han Zhang; Yunjiang Jiang; Mingming Li; Haowei Yuan; Wen-Yun Yang,2024,ICLR 2024,main,Reject,"probabilistic methods (Bayesian methods, variational inference, sampling, UQ, etc.)",Embedding retrieval;probabilistic modeling;neural network,0,32.043,0.000,,https://openreview.net/forum?id=iZQW7eutCv,,offline_iclr,,"Embedding retrieval aims to learn a shared semantic representation space for both queries and items, thus enabling efficient and effective item retrieval using approximate nearest neighbor (ANN) algorithms. In current industrial practice, retrieval systems typically retrieve a fixed number of items "
7,Q4FmJPQwuJ,CrossTVR: Multi-Grained Re-Ranker for Text Video Retrieval with Frozen Image Encoders,Zuozhuo Dai; Fangtao Shao; Qingkun Su; Zilong Dong; Yao Yao,2024,ICLR 2024,main,Reject,"representation learning for computer vision, audio, language, and other modalities",Text-Video Retrieval;CLIP;Frozen;Multimodal,0,31.297,0.000,,https://openreview.net/forum?id=Q4FmJPQwuJ,,offline_iclr,,"State-of-the-art text-video retrieval (TVR) methods commonly use CLIP and cosine similarity for efficient retrieval. 
Meanwhile, cross attention methods, which employ a transformer decoder to compute attention between text queries and video frames, offer a more comprehensive interaction between mult"
8,N5gn1KjCWW,Supervised Metric Learning for Retrieval via Contextual Similarity Optimization,Christopher Liao; Theodoros Tsiligkaridis; Brian Kulis,2023,ICLR 2023,main,Withdraw,,Image Retrieval;Metric Learning;Contextual Similarity,0,30.531,0.000,,https://openreview.net/forum?id=N5gn1KjCWW,,offline_iclr,,"Existing deep metric learning approaches fall into three general categories: contrastive learning, average precision (AP) maximization, and classification. We propose a novel alternative approach, contextual similarity optimization, inspired by work in unsupervised metric learning. Contextual simila"
9,5a73a0f97e,Angular Quantization-based Binary Codes for Fast Similarity Search,Yunchao Gong; Sanjiv Kumar; Vishal Verma; Svetlana Lazebnik,2012,NIPS 2012,main,Poster,,,0,29.949,0.000,,https://papers.nips.cc/paper_files/paper/2012/hash/f5deaeeae1538fb6c45901d524ee2f98-Abstract.html,https://papers.nips.cc/paper_files/paper/2012/file/f5deaeeae1538fb6c45901d524ee2f98-Paper.pdf,offline_nips,,"This paper focuses on the problem of learning binary embeddings for efficient retrieval of high-dimensional non-negative data. Such data typically arises in a large number of vision and text applications where counts or frequencies are used as features.  Also, cosine distance is commonly used as a m"
10,EwRxk3Ho1V,Beyond Cosine Similarity: Introducing the Unified semantic Similarity Metric Benchmark (USMB) for Text Similarity Measurement,Samarth Goel; Reagan Lee; Kannan Ramchandran,2025,ICLR 2025,main,Reject,datasets and benchmarks,Deep Learning or Neural Networks;Similarity and Distance Learning;(Application) Natural Language and Text Processing;(Cognitive/Neuroscience) Language,0,29.443,0.000,,https://openreview.net/forum?id=EwRxk3Ho1V,,offline_iclr,,"Text embedding models are increasingly utilized in production across various applications, from Information Retrieval (IR) to document parsing, but relatively little research has been focused on how to best utilize these embeddings for downstream tasks. While cosine similarity, a popular measure of "
